"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Create exercise","LMS service","Wed Jan 07 16:19:21 UTC 2026","passed","Wed Jan 07 16:19:21 UTC 2026","Create entity","Exercises","",""
"","15","Get file with incorrect file id","LMS service","Wed Jan 07 16:19:27 UTC 2026","passed","Wed Jan 07 16:19:27 UTC 2026","Validate entity","Files","",""
"","526","Create user","LMS service","Wed Jan 07 16:19:26 UTC 2026","passed","Wed Jan 07 16:19:27 UTC 2026","Create entity","Users","",""
"","19","Delete file","LMS service","Wed Jan 07 16:19:26 UTC 2026","passed","Wed Jan 07 16:19:26 UTC 2026","Validate entity","Files","",""
"","27","Create course","LMS service","Wed Jan 07 16:19:20 UTC 2026","passed","Wed Jan 07 16:19:20 UTC 2026","Create entity","Courses","",""
"","295","Delete exercise","LMS service","Wed Jan 07 16:19:22 UTC 2026","passed","Wed Jan 07 16:19:23 UTC 2026","Delete entity","Exercises","",""
"","28","Get courses","LMS service","Wed Jan 07 16:19:20 UTC 2026","passed","Wed Jan 07 16:19:20 UTC 2026","Get entities","Courses","",""
"","12","Get user me","LMS service","Wed Jan 07 16:19:28 UTC 2026","passed","Wed Jan 07 16:19:28 UTC 2026","Get entity","Users","",""
"","35","Update course","LMS service","Wed Jan 07 16:19:19 UTC 2026","passed","Wed Jan 07 16:19:19 UTC 2026","Update entity","Courses","",""
"","298","Create user","LMS service","Wed Jan 07 16:19:27 UTC 2026","passed","Wed Jan 07 16:19:27 UTC 2026","Create entity","Users","",""
"","266","Create file with empty filename","LMS service","Wed Jan 07 16:19:25 UTC 2026","passed","Wed Jan 07 16:19:25 UTC 2026","Validate entity","Files","",""
"","15","Get exercise","LMS service","Wed Jan 07 16:19:22 UTC 2026","passed","Wed Jan 07 16:19:22 UTC 2026","Get entity","Exercises","",""
"","21","Update exercise","LMS service","Wed Jan 07 16:19:21 UTC 2026","passed","Wed Jan 07 16:19:21 UTC 2026","Update entity","Exercises","",""
"","18","Get exercises","LMS service","Wed Jan 07 16:19:23 UTC 2026","passed","Wed Jan 07 16:19:23 UTC 2026","Get entities","Exercises","",""
"","555","Login with correct email and password","LMS service","Wed Jan 07 16:19:18 UTC 2026","passed","Wed Jan 07 16:19:19 UTC 2026","Login","Authentication","",""
"","557","Create user","LMS service","Wed Jan 07 16:19:27 UTC 2026","passed","Wed Jan 07 16:19:27 UTC 2026","Create entity","Users","",""
"","262","Create file","LMS service","Wed Jan 07 16:19:24 UTC 2026","passed","Wed Jan 07 16:19:24 UTC 2026","Create entity","Files","",""
"","260","Create file with empty directory","LMS service","Wed Jan 07 16:19:25 UTC 2026","passed","Wed Jan 07 16:19:26 UTC 2026","Validate entity","Files","",""
"","14","Get file","LMS service","Wed Jan 07 16:19:24 UTC 2026","passed","Wed Jan 07 16:19:24 UTC 2026","Get entity","Files","",""
